SQL:connectPdo::before suda:database:connect::before
loadModule suda:module:load
loadModule: suda:module:load:on::
Application:init suda:application:init
Application:active suda:application:active
system:debug::start suda:system:debug::start
system:debug::end suda:system:debug::stop
display:output suda:template::display
Router:filter suda:route:dispatch::filter
Router:prepareRouterInfo suda:route:perpare
Router:dispatch::before suda:route:dispatch::before
Router:extra suda:route:dispatch::extra
system:404 suda:system:error::404
Router:dispatch::error suda:route:dispatch::error
Router:runRouter::before suda:route:run::before
Router:runRouter::after suda:route:run::after
system:init suda:system:init 
core:loadManifast suda:system:load-manifast
system:shutdown::before suda:system:shutdown::before
system:shutdown suda:system:shutdown
system:displayException suda:system:exception::display
template:SudaCompiler:init suda:template:compiler:init
Template:render::before suda:template:render::before
Manager:loadCompile::before suda:template:load-compile::before
template:theme::change suda:template:change-theme
Manager:prepareResource::before suda:template:resource-perpare::before
