Application:active suda:application:active
Application:init suda:application:init
core:loadManifast suda:system:load-manifast
display:output suda:template::display
loadModule suda:module:load
loadModule: suda:module:load:on::
Manager:loadCompile::before suda:template:load-compile::before
Manager:prepareResource::before suda:template:resource-prepare::before
Router:dispatch::before suda:route:dispatch::before
Router:dispatch::error suda:route:dispatch::error
Router:extra suda:route:dispatch::extra
Router:filter suda:route:dispatch::filter
Router:prepareRouterInfo suda:route:prepare
Router:runRouter::after suda:route:run::after
Router:runRouter::before suda:route:run::before
SQL:connectPdo::before suda:database:connect::before
system:404 suda:system:error::404
system:debug::end suda:system:debug::stop
system:debug::start suda:system:debug::start
system:displayException suda:system:exception::display
system:init suda:system:init 
system:shutdown suda:system:shutdown
system:shutdown::before suda:system:shutdown::before
Template:render::before suda:template:render::before
template:SudaCompiler:init suda:template:compile::before
template:theme::change suda:template:change-theme
